URL;POOL;Crawled
https://www.philips.de;0;0
https://www.philips.de/c-e/philips-newsletter.html;273;1
https://www.philips.de/c-e/shop/wintersale;276;2
https://www.philips.de/;278;3
https://www.philips.de/c-m-pe/haarentfernung/lumea-ipl;282;4
https://www.philips.de/c-m-pe/haarentfernung/satinelle-epilator;296;5
https://www.philips.de/c-m-pe/haarpflege/drycare-prestige-haartrockner;315;6
https://www.philips.de/c-m-pe/haarpflege/lockenstab;330;7
https://www.philips.de/c-m-pe/haarentfernung/rasierer-fuer-frauen;341;8
https://www.philips.de/c-p/SC5991_10/ersatz-buerstenkopf-empfindliche-haut;354;9
https://www.philips.de/c-m-pe/haarpflege/glaetteisen;365;10
https://www.philips.de/c-m-pe/haarentfernung/trimmer;378;11
https://www.philips.de/c-e/beauty-tipps-fur-frauen.html;385;12
https://www.philips.de/c-m-ac/schoenheit-fuer-frauen-zubehoer;404;13
https://www.philips.de/c-m-pe/gesicht-rasierer;413;14
https://www.philips.de/c-m-pe/haarschneider;432;15
https://www.philips.de/c-m-pe/gesicht-styler-und-pflegesets/bartschneider;447;16
https://www.philips.de/c-m-pe/oneblade-trimmen-stylen-und-rasieren;464;17
https://www.philips.de/c-m-pe/bodygroom;514;18
https://www.philips.de/c-m-pe/bodygroom/dauerhafte-haarentfernung;529;19
https://www.philips.de/c-m-pe/gesicht-styler-und-pflegesets/detail-und-nasenhaartrimmer;534;20
https://www.philips.de/c-e/pflegetipps-fur-manner.html;545;21
https://www.philips.de/c-m-ac/grooming-rasurzubehoer-fuer-maenner;580;22
https://www.philips.de/c-e/pe/gesicht-rasierer/philips-groomtribe-app.html;589;23